id,time,director,star,cost
1809,"1 hour, 39 minutes",David L. Cunningham,"Alexander Ludwig, Christopher Eccleston","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
1810,43 minutes,McG,"Debra Messing, Josh Lucas","Buy SD $1.99,"
1811, 1736 minutes ,Alex Pillai,Jonas Armstrong,$63.99 
1812, 725 minutes ,Ridley Scott,RZA,$12.59 
1813,"1 hour, 52 minutes",John Cornell,"Paul Hogan, Linda Kozlowski","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1814,"1 hour, 38 minutes",Yi Yong,"Doona Bae, Nam-jin Kim","Buy SD $6.99,"
1815, 89 minutes ,Wes Llewellyn,Ray Hornblower,$8.69 
1816, 300 minutes ,Tyler Walker,Cherami Leigh,$31.14 
1817,23 minutes,Justin Ridge,"Corey Burton, James Arnold Taylor","Buy SD $1.99,Buy HD $29.99,Buy SD $24.99,"
1818, 117 minutes ,Clint Eastwood,Clint Eastwood,$5.97 
1819, 92 minutes ,Andrew Cymek,Brigitte Kingsley,$9.71 
1820, 89 minutes ,Jack Starrett,Tamara Dobson,$14.55 
1821, 102 minutes ,Richard Lang,Victoria Racimo,$19.99 
1822, 90 minutes ,Isaac Florentine,Scott Adkins,$4.56 
1823, 104 minutes ,Guy Ritchie,Jason Statham,$13.59 
1824, 234 minutes ,Various,Various,$7.79 
1825, 111 minutes ,Clint Eastwood,Clint Eastwood,$4.57 
1826, 540 minutes ,Ben Duncan,Bear Grylls,$9.99 
1827, 245 minutes ,Rob Cohen,Chris O'Donnell,$4.07 
1828, 90 minutes ,Steve Barker,Ray Stevenson,$4.98 
1829,"1 hour, 29 minutes",Robert Wise,"Richard Burton, James Mason","Rent SD $2.99,Buy SD $9.99,"
1830,34 minutes,Peter Chung,"Vin Diesel, Rhiana Griffith","Buy SD $4.99,"
1831, 114 minutes ,Marvin J. Chomsky,James Garner,$9.58 
1832, 116 minutes ,Sidney Lumet,Michael Caine,$6.99 
1833, 100 minutes ,Patrick Read Johnson,Douglas Barr,$9.99 
1834, 1078 minutes ,Burt Brinckerhoff,Stephanie Zimbalist,$16.79 
1835, 501 minutes ,Ernst Lubitsch,Edward Everett Horton,$11.64 
1836, 106 minutes ,John Moore,Gene Hackman,$4.65 
1837, 110 minutes ,Akira Kurosawa,Toshirô Mifune,$22.76 
1838, 457 minutes ,Edward Zwick,Demi Moore,$13.82 
1839,43 minutes,Greg Beeman,"Tom Welling, Kristin Kreuk","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
1840,"2 hours, 7 minutes",Philipp Stölzl,"Benno Fürmann, Johanna Wokalek","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1841, 103 minutes ,Ronald Neame,Clifton Webb,$12.68 
1842, 105 minutes ,Randal Kleiser,Christopher Atkins,$9.99 
1843, 325 minutes ,Tony Oliver,Cristina Valenzuela,$36.70 
1844, 129 minutes ,John Sturges,Mariette Hartley,$29.35 
1845, 224 minutes ,Rob Cohen,Arabella Field,$9.49 
1846, 620 minutes ,Junichi Fujisaku,Kari Wahlgren,$17.29 
1847,44 minutes,Josh Gates,"Josh Gates, Neil Mandt","Buy SD $9.99,"
1848, 120 minutes ,Guy Ritchie,Jason Flemyng,$7.68 
1849,46 minutes,Brad Anderson,"Karl Urban, Michael Ealy","Buy SD $1.99,"
1850, 122 minutes ,Mark Robson,Charlton Heston,$13.49 
1851,"1 hour, 26 minutes",Mark Blutman,"Forrest Landis, AnnaSophia Robb","Buy SD $3.99,"
1852, 98 minutes ,McG,Kelly Lynch,$6.55 
1853, 111 minutes ,Woo-Ping Yuen,Siu Tien Yuen,$13.99 
1854, 525 minutes ,Zack Snyder,Gerard Butler,$13.89 
1855, 108 minutes ,Ron Shelton,Kevin Costner,$8.98 
1856, 142 minutes ,Peter R. Hunt,George Lazenby,$11.75 
1857, 72 minutes ,Lesley Selander,Marguerite Chapman,$5.99 
1858, 241 minutes ,Jack Arnold,Antonio Moreno,$36.37 
1859, 169 minutes ,Nick Willing,Rhys Ifans,$6.12 
1860,"2 hours, 13 minutes",Stuart Baird,"Kurt Russell, Steven Seagal","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1861, 108 minutes ,Nicholas Meyer,Tom Hanks,$4.72 
1862, 102 minutes ,John Irvin,Christopher Walken,$42.49 
1863,"1 hour, 44 minutes",Franc Roddam,"Michael Biehn, Matt Craven","Rent SD $2.99,Buy SD $4.99,"
1864,51 minutes,David Slade,"Ezra Buzzington, Emilien De Falco","Buy SD $1.99,Buy HD $19.99,Buy SD $14.99,"
1865, 135 minutes ,Clint Eastwood,Ryan Phillippe,$6.93 
1866, 117 minutes ,Jeannot Szwarc,Roy Scheider,$6.55 
1867, 360 minutes ,Richard C. Sarafian,Gary Busey,$6.39 
1868, 119 minutes ,Roger Spottiswoode,Pierce Brosnan,$11.05 
1869, 518 minutes ,Various,Various,$9.14 
1870, 123 minutes ,Steven Soderbergh,George Clooney,$9.05 
1871, 113 minutes ,Marcus Nispel,Jason Momoa,$3.74 
1872, 148 minutes ,Steven Soderbergh,Benicio Del Toro,$6.15 
1873,"1 hour, 52 minutes",Andrew V. McLaglen,"John Wayne, Forrest Tucker","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1874, 144 minutes ,Christophe Gans,,$52.99 
1875,"1 hour, 34 minutes",Nicholas Corea,"Bill Bixby, Lou Ferrigno","Rent SD $2.99,Buy SD $4.99,"
1876, 94 minutes ,Keoni Waxman,Steven Seagal,$5.00 
1877,"1 hour, 52 minutes",John Badham,"Mel Gibson, Goldie Hawn","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1878, 99 minutes ,Marcus Nispel,Karl Urban,$8.99 
1879, 101 minutes ,Rob Cohen,Tyler Perry,$4.49 
1880,"1 hour, 50 minutes",Peter Hyams,"Sean Connery, Peter Boyle","Rent SD $2.99,Buy SD $9.99,"
1881, 782 minutes ,Various,Richard Dreyfuss,$5.44 
1882, 95 minutes ,Stephen St. Leger,Guy Pearce,$4.99 
1883, 110 minutes ,Baltasar Kormákur,Mark Wahlberg,$4.98 
1884, 184 minutes ,Peter Andrikidis,Tony Martin,$5.54 
1885, 518 minutes ,Various,Various,$5.79 
1886, 123 minutes ,Peter Hyams,Arnold Schwarzenegger,$7.88 
1887, 108 minutes ,Dick Powell,Robert Mitchum,$14.98 
1888,"2 hours, 15 minutes",Delmer Daves,"Cary Grant, John Garfield","Rent HD $2.99,Rent SD $2.00,Buy HD $12.99,Buy SD $9.99,"
1889,"1 hour, 36 minutes",Satoshi Hino,"Satoshi Hino, Kazuhiko Inoue","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
1890, 103 minutes ,Samuel Fuller,Richard Widmark,$10.20 
1891, 413 minutes ,Tony Scott,Arnold Schwarzenegger,$8.49 
1892, 114 minutes ,Paul Gross,Paul Gross,$5.85 
1893, 102 minutes ,Danny Boyle,James McAvoy,$9.96 
1894, 112 minutes ,Xavier Koller,Pete Postlethwaite,$9.67 
1895, 75 minutes ,John Farrow,Chester Morris,$17.99 
1896,"1 hour, 27 minutes",Vittorio Cottafavi,"Mark Forest, Broderick Crawford","Buy SD $4.99,"
1897, 203 minutes ,Kazuki Omori,Megumi Odaka,$7.99 
1898, 86 minutes ,Joseph H. Lewis,John Dall,$49.99 
1899, 128 minutes ,Tony Richardson,Albert Finney,$39.18 
1900, 290 minutes ,Akinori Nagaoka,Takeshi Kusao,
1901, 100 minutes ,Mike Phillips,Bug Hall,$7.99 
1902, 95 minutes ,Joseph H. Lewis,Frank Lovejoy,$13.99 
1903, 116 minutes ,Roger Donaldson,Alec Baldwin,$69.99 
1904,"1 hour, 38 minutes",Steve Oedekerk,"Martin Lawrence, Tim Robbins","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1905,"1 hour, 45 minutes",Pitof,"Halle Berry, Benjamin Bratt","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1906, 119 minutes ,Michel Gondry,Seth Rogen,$7.99 
1907,1/1/2012,Babe Winkelman,19 minutes,"Buy SD $7.99,"
1908, 93 minutes ,Ted Kotcheff,Sylvester Stallone,$5.05 
1909,"2 hours, 25 minutes",Sam Peckinpah,"William Holden, Ernest Borgnine","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1910, 93 minutes ,Peter Hewitt,Keanu Reeves,$7.24 
1911, 128 minutes ,Jr. George Tillman,Powers Boothe,$8.87 
1912, 151 minutes ,Richard Donner,Marlon Brando,$9.75 
1913,"1 hour, 42 minutes",William A. Graham,"Milla Jovovich, Brian Krause","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1914, 247 minutes ,Various,Various,$9.99 
1915,"2 hours, 4 minutes",Gore Verbinski,"Brad Pitt, Julia Roberts","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1916, 107 minutes ,Joseph Zito,Chuck Norris,$6.52 
1917, 102 minutes ,Steve E. De Souza,Jean-Claude Van Damme,$9.99 
1918, 88 minutes ,Ron Phillips,Jim Dunn,$7.19 
1919, 97 minutes ,Brett Ratner,Jackie Chan,$9.65 
1920, 403 minutes ,William Nigh,Boris Karloff,$17.62 
1921, 128 minutes ,J. Lee Thompson,Anthony Quayle,$9.92 
1922,"1 hour, 54 minutes",Harold Becker,"Al Pacino, Ellen Barkin","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1923, 88 minutes ,Michael Ritchie,Lee Marvin,$9.92 
1924, 134 minutes ,John Woo,Nicolas Cage,$5.00 
1925, 173 minutes ,Steve Boyum,Patrick Swayze,
1926, 109 minutes ,John Badham,Bridget Fonda,$4.70 
1927, 116 minutes ,Richard Wallace,Jr. Douglas Fairbanks,$17.55 
1928, 154 minutes ,Bryan Singer,Brandon Routh,$4.93 
1929, 107 minutes ,Various,Various,$4.96 
1930,55 minutes,Spencer Gordon Bennet,"Jack Perrin, Robert Walker","Buy SD $9.99,"
1931,"1 hour, 39 minutes",Kevin Donovan,"Jackie Chan, Jennifer Love Hewitt","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1932,"1 hour, 30 minutes",Michael Ritchie,"Robert Pastorelli, Ruby Dee","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1933,"1 hour, 38 minutes",Martin Scorsese,"Griffin Dunne, Rosanna Arquette","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1934, 130 minutes ,Stephen Sommers,Brendan Fraser,$9.99 
1935, 93 minutes ,Jean Cocteau,Jean Marais,$23.59 
1936,"1 hour, 31 minutes",Joseph Sargent,"Lorraine Gary, Lance Guest","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1937, 96 minutes ,Lloyd Bacon,Richard Widmark,$9.92 
1938, 236 minutes ,Nathan Juran,Allison Hayes,$15.50 
1939, 82 minutes ,Tommy Chong,Cheech Marin,$25.14 
1940, 713 minutes ,James Whale,Boris Karloff,$79.99 
1941,"1 hour, 41 minutes",Jack Cardiff,"Rod Taylor, Yvette Mimieux","Buy SD $14.99,"
1942, 218 minutes ,Paul Greengrass,Matt Damon,$10.99 
1943, 94 minutes ,Various,Various,$15.91 
1944, 343 minutes ,Andrew V. McLaglen,George Segal,$12.95 
1945, 2040 minutes ,Robert Totten,Tom Selleck,$10.20 
1946,43 minutes,Kevin Fair,"Tom Welling, Allison Mack","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
1947,"1 hour, 54 minutes",Dennie Gordon,"Ziyi Zhang, Leehom Wang","Rent SD $1.99,Buy HD $12.99,Buy SD $9.99,"
1948, 116 minutes ,Richard Fleischer,Kirk Douglas,$47.85 
1949, 400 minutes ,Kevin Murphy,Joel Hodgson,$37.99 
1950,"1 hour, 57 minutes",Richard Fleischer,"Kirk Douglas, Tony Curtis","Rent SD $2.99,Buy SD $9.99,"
1951,22 minutes,Dan Riba,"Kevin Conroy, Susan Eisenberg","Buy SD $32.99,"
1952,"2 hours, 30 minutes",Robert Aldrich,"Lee Marvin, Ernest Borgnine","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1953, 93 minutes ,Michael Feifer,Val Kilmer,$9.99 
1954,"1 hour, 50 minutes",F. Gary Gray,"Vin Diesel, Larenz Tate","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1955, 1109 minutes ,Bruce Bilson,Lee Majors,$18.33 
1956, 91 minutes ,David Koepp,Joseph Gordon-Levitt,$7.43 
1957, 408 minutes ,John Woo,Jean-Claude Van Damme,$9.19 
1958, 98 minutes ,Jud Taylor,Michael Parks,$17.49 
1959,"1 hour, 29 minutes",Adam Green,"Ray Wise, Adam Green","Rent HD $3.99,Rent SD $2.99,Buy HD $8.99,Buy SD $8.99,"
1960,43 minutes,James Marshall,"Tom Welling, Kristin Kreuk","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
1961, 99 minutes ,James McTeigue,Rain,$3.74 
1962,"1 hour, 22 minutes",Curt Geda,"Kevin Conroy, Kimberly Brooks","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1963,"2 hours, 16 minutes",Taylor Hackford,"Meg Ryan, Russell Crowe","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1964, 107 minutes ,Dwight H. Little,Wesley Snipes,$7.40 
1965, 116 minutes ,William Friedkin,William Petersen,$13.39 
1966, 400 minutes ,Chia Liang Liu,Jet Li,$7.50 
1967, 129 minutes ,Len Wiseman,Bruce Willis,$6.90 
1968, 110 minutes ,Wayne Kramer,Paul Walker,$4.99 
1969, 370 minutes ,Danny DeVito,Michael Caine,$7.08 
1970, 104 minutes ,Brett Ratner,Patrick Stewart,$9.77 
1971,57 minutes,Michael Hurst,"Manu Bennett, Daniel Feuerriegel","Buy SD $1.99,Buy HD $19.99,Buy SD $14.99,"
1972, 88 minutes ,Todd Solondz,Brendan Sexton,$14.53 
1973,"1 hour, 4 minutes",Greg Hunt,"Anthony Van Engelen,Tony Trujillo","Rent HD $4.99,Rent SD $3.99,Buy HD $11.99,Buy SD $9.99,"
1974,23 minutes,Casey Kasem,"Casey Kasem, Ted Knight","Buy SD $29.99,"
1975, 132 minutes ,Roger Donaldson,Mel Gibson,$9.31 
1976,"1 hour, 56 minutes",Robert Montgomery,"James Cagney, Dennis Weaver","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
1977,"2 hours, 0 minutes",John Milius,"Sean Connery, Candice Bergen","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1978, 158 minutes ,Luc Besson,Faye Dunaway,$35.19 
1979, 625 minutes ,Toshifumi Takizawa,Inukai Junji,$34.99 
1980, 133 minutes ,Peter Weir,Ed Harris,$7.15 
1981,"1 hour, 37 minutes",Andy Wing-Keung Chin,"Brigitte Lin,Sharla Cheung","Buy SD $6.99,"
1982, 91 minutes ,Lance Mungia,Jeffrey Falcon,$10.72 
1983, 100 minutes ,Tony Scott,Anthony Quinn,$6.01 
1984,1/1/2012,Babe Winkelman,19 minutes,"Buy SD $7.99,"
1985,"1 hour, 35 minutes",Les Mayfield,"Colin Farrell, Scott Caan","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1986, 131 minutes ,John Sturges,Michael Caine,$15.83 
1987, 112 minutes ,Clint Eastwood,Clint Eastwood,$7.65 
1988,54 minutes,Thea Mercouffer,Thea Mercouffer,"Rent SD $2.99,Buy HD $8.99,Buy SD $7.99,"
1989, 90 minutes ,John Stockwell,Cam Gigandet,$6.00 
1990,"1 hour, 57 minutes",John Huston,"Sylvester Stallone, Michael Caine","Buy SD $9.99,"
1991, 140 minutes ,Tony Bill,James Franco,$10.00 
1992,"2 hours, 8 minutes",John Milius,"Arnold Schwarzenegger, James Earl Jones","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1993, 103 minutes ,Nathan Juran,Edward Judd,$29.49 
1994,"1 hour, 46 minutes",David R. Ellis,"Samuel L. Jackson, Julianna Margulies","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1995, 93 minutes ,Danny Boyle,James Franco,$4.68 
1996, 113 minutes ,Neil Marshall,Rhona Mitra,$9.58 
1997,"1 hour, 2 minutes",William Nigh,"Mary Brian, John Darrow","Buy SD $9.99,"
1998, 135 minutes ,Taylor Hackford,Meg Ryan,$6.00 
1999, 125 minutes ,Michael Caton-Jones,Bruce Willis,$7.75 
2000, 129 minutes ,Spike Lee,Denzel Washington,$7.99 
2001,,Various,Various,$7.20 
2002, 865 minutes ,Guy Hamilton,Pierce Brosnan,$109.95 
2003, 75 minutes ,Lauren Montgomery,,$12.69 
2004, 120 minutes ,Rob Cohen,Jason Scott Lee,$7.50 
2005, 232 minutes ,Paul Greengrass,Matt Damon,$10.99 
2006, 2 minutes ,Takao Okawara,Takehiro Murata,$6.15 
2007, 172 minutes ,Irwin Allen,Michael Rennie,$14.22 
2008, 121 minutes ,Antoine Fuqua,Monica Bellucci,$8.03 
2009,"1 hour, 30 minutes",Luis Llosa,"Jennifer Lopez, Ice Cube","Buy HD $12.99,Buy SD $9.99,"
2010, 518 minutes ,Bernard Borderie,Michele Mercier,$20.82 
2011,"2 hours, 10 minutes",Clint Eastwood,"Clint Eastwood, George Kennedy","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2012,"1 hour, 36 minutes",Ekachai Uekrongtham,"Dolph Lundgren, Tony Jaa","Rent HD $4.99,Rent SD $3.99,Buy HD $13.99,Buy SD $12.99,"
2013, 486 minutes ,David Lean,William Holden,$8.24 
2014,"1 hour, 15 minutes",Dave Bullock,"David Boreanaz, Miguel Ferrer","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
2015,"1 hour, 55 minutes",Michael Cimino,"Clint Eastwood, Jeff Bridges","Buy SD $9.99,"
2016,"2 hours, 17 minutes",Sam Raimi,"Tobey Maguire, Kirsten Dunst",
2017, 84 minutes ,Ishiro Honda,Akihiko Hirata,$5.19 
2018, 117 minutes ,Various,Various,$7.88 
2019, 381 minutes ,Marion Gering,Cary Grant,$18.15 
2020,,Norman Foster,Peter Lorre,$42.11 
2021,"1 hour, 45 minutes",Prachya Pinkaew,"Tony Jaa, Petchtai Wongkamlao","Buy SD $4.99,"
2022, 139 minutes ,Ang Lee,Tobey Maguire,$9.16 
2023, 685 minutes ,Freddie Francis,Peter Cushing,$22.79 
2024, 137 minutes ,Je-kyu Kang,Jang Dong-Gun,$12.82 
2025,"1 hour, 30 minutes",Todd Strauss-Schulson,"Patton Oswalt, Isabella Gielniak","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2026, 119 minutes ,Tim Burton,Mark Wahlberg,$6.15 
2027, 182 minutes ,Robert Wise,Steve McQueen,$16.58 
2028, 200 minutes ,Martin Wood,Ben Browder,$14.31 
2029, 108 minutes ,John Stockwell,Gina Carano,$9.96 
2030, 100 minutes ,Peter Berg,Christian Slater,$6.89 
2031,"2 hours, 14 minutes",John Frankenheimer,"Burt Lancaster, Paul Scofield","Buy SD $9.99,"
2032, 132 minutes ,Henry King,Gregory Peck,$17.98 
2033, 118 minutes ,Niels Arden Oplev,Noomi Rapace,$7.99 
2034, 123 minutes ,John Woo,Tom Cruise,$9.59 
2035,"1 hour, 48 minutes",Bill Duke,"Lira Angel, René Assa","Buy HD $14.99,Buy SD $9.99,"
2036, 371 minutes ,Various,Mimi Rogers,$9.79 
2037, 218 minutes ,Alistar Grierson,Richard Roxburgh,$16.99 
2038, 104 minutes ,Various,Various,$6.99 
2039,43 minutes,Neil Darish,"Neil Darish, Gary Green","Buy SD $1.99,Buy HD $14.99,Buy SD $12.99,"
2040, 99 minutes ,Peter Collinson,Michael Caine,$7.98 
2041,"1 hour, 47 minutes",Toa Fraser,"James Rolleston, Lawrence Makoare","Rent HD $4.99,Rent SD $3.99,Buy HD $13.99,Buy SD $12.99,"
2042, 116 minutes ,David Lean,Robert Newton,$25.25 
2043, 84 minutes ,Kevin Hooks,Wesley Snipes,$4.93 
2044, 122 minutes ,Neil Jordan,Jodie Foster,$7.95 
2045,43 minutes,Kevin Fair,"Tom Welling, Allison Mack","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
2046, 117 minutes ,David L. Cunningham,Robert Carlyle,$34.96 
2047, 611 minutes ,History,Ice Road Truckers,$12.83 
2048, 96 minutes ,John Nicolella,Kevin Sorbo,$9.97 
2049,"1 hour, 15 minutes",John Reinhardt,"Marian Nixon, George Houston","Buy SD $9.99,"
2050,"1 hour, 35 minutes",Francis Ford Coppola,"Matt Dillon, Mickey Rourke","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2051,"1 hour, 29 minutes",Nathan Juran,"Kerwin Mathews, Kathryn Grant","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2052,"1 hour, 45 minutes",Merian C. Cooper,"Fay Wray, Robert Armstrong","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $7.88,"
2053, 123 minutes ,Various,Various,$9.56 
2054, 104 minutes ,John Hillcoat,Guy Pearce,$15.50 
2055, 145 minutes ,Sydney Pollack,Robert Redford,$9.92 
2056, 101 minutes ,Alan Mak,Andy Lau,$6.92 
2057, 276 minutes ,Ang Lee,Eric Bana,$14.12 
2058,"1 hour, 11 minutes",Howard Higgin,"William Boyd, Carole Lombard","Buy SD $9.99,"
2059,"2 hours, 11 minutes",John McTiernan,"Arnold Schwarzenegger, F. Murray Abraham","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2060, 130 minutes ,Dennis Hopper,Don Johnson,$27.99 
2061, 98 minutes ,Chia-Liang Liu,Chia Hui Liu,$6.17 
2062, 214 minutes ,Richard Lester,Richard Chamberlain,$23.99 
2063, 141 minutes ,Roland Joffé,Sam Waterston,$74.99 
2064, 936 minutes ,Ivan Tors,Lloyd Bridges,$13.97 
2065,47 minutes,Cilla Ware,"Juliet Aubrey, Douglas Henshall","Buy SD $10.99,"
2066, 642 minutes ,John Glen,Pierce Brosnan,$68.19 
2068, 103 minutes ,Abel Ferrara,Christopher Walken,$5.89 
2069, 278 minutes ,Various,Various,$14.29 
2070, 123 minutes ,Daniel Petrie,Paul Newman,$5.88 
2071, 90 minutes ,Charles Martin Smith,Barry Pepper,$7.83 
2072, 800 minutes ,Don Taylor,Gene Barry,$20.09 
2073,"2 hours, 32 minutes",Raoul Walsh,"Douglas Fairbanks, Snitz Edwards","Buy SD $9.99,"
2074,23 minutes,Michael Goguen,"Diedrich Bader, Jeff Bennett","Buy SD $1.99,Buy HD $39.99,Buy SD $29.99,"
2075, 94 minutes ,Ernest B. Schoedsack,Robert Armstrong,$14.99 
2076, 102 minutes ,Walter Hill,Bill Paxton,$5.13 
2077, 123 minutes ,James Goldstone,Paul Newman,$9.52 
2078,"1 hour, 15 minutes",Bill Hutton,"Gregg Berger, Susan Blu","Buy SD $9.99,"
2079, 100 minutes ,Michael Anderson,"Bill Lucking, Darrell Zwerling, Eldon Quick, Michael Miller (Ii), Ron Ely Paul Gleason",$14.32 
2080, 99 minutes ,Todd Robinson,Ed Harris,$4.99 
2081, 96 minutes ,Julien Temple,Mickey Rourke,$9.16 
2082, 123 minutes ,Sam Mendes,Jamie Foxx,$7.50 
2083, 120 minutes ,Denzel Washington,Denzel Washington,$4.00 
2084, 196 minutes ,Harold Ramis,Olivia Wilde,$5.19 
2085, 1028 minutes ,Allen Baron,Jaclyn Smith,$12.70 
2086, 112 minutes ,Richard Marquand,Donald Sutherland,$43.88 
2087,"1 hour, 40 minutes",Jonathan Newman,"Michael Sheen, Lena Headey","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $13.99,"
2088, 106 minutes ,Peter Werner,Charlie Sheen,$22.49 
2089, 107 minutes ,Bill Duke,Laurence Fishburne,$39.99 
2090,"1 hour, 38 minutes",Kevin Bray,"Ice Cube, Mike Epps","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2091, 167 minutes ,John Wayne,Laurence Harvey,$37.49 
2092, 91 minutes ,Pierre Gang,Brent Carver,
2093,"1 hour, 29 minutes",Max Kleven,"David Hasselhoff, Linda Blair","Buy SD $9.99,"
2094,"1 hour, 29 minutes",Kasper Barfoed,"John Cusack, Malin Akerman","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
2095, 107 minutes ,Bo A. Vibenius,Solveig Andersson,$19.07 
2096, 101 minutes ,Paul W.S. Anderson,Christopher Lambert,$9.10 
2097, 104 minutes ,Walter Hill,Nick Nolte,$6.51 
2098, 386 minutes ,Joe May,Claude Rains,$35.52 
2099, 97 minutes ,Dana Brown (II),Jimmy N. Roberts,$44.99 
2100, 292 minutes ,Fred F. Sears,Jeff Morrow,$12.99 
2101, 510 minutes ,Anthony Mann,James Stewart,$16.87 
2102,"1 hour, 27 minutes",George P. Cosmatos,"Sylvester Stallone, Brigitte Nielsen","Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
2103, 116 minutes ,Tobe Hooper,Steve Railsback,$31.80 
2104, 1078 minutes ,Daniel Vigne,Adrian Paul,$29.99 
2105, 95 minutes ,Ethan Coen,John Getz,$13.58 
2106,"1 hour, 40 minutes",Scott Devine,Christopher Lee,"Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $7.99,"
2107, 120 minutes ,Jonathan English,Paul Giamatti,$4.78 
2108, 114 minutes ,Tom Laughlin,Tom Laughlin,$8.97 
2109,"1 hour, 44 minutes",David Greene,"Richard Chamberlain, Trevor Howard","Buy SD $9.99,"
2110,"1 hour, 43 minutes",David Gordon Green,"Danny McBride, James Franco","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2111, 86 minutes ,Michael Davis,Clive Owen,$7.21 
2112, 93 minutes ,Paul Bartel,David Carradine,$8.86 
2113, 88 minutes ,Jim Wynorski,Dick Durock,$6.44 
2114, 83 minutes ,Ishiro Honda,,$5.91 
2115, 98 minutes ,Ishirô Honda,Akira Takarada,$9.49 
2116, 196 minutes ,Various,Various,$7.89 
2117, 240 minutes ,Various,Various,$8.98 
2118, 110 minutes ,Peter Hyams,Edward Burns,$4.92 
2119, 128 minutes ,Basil Dearden,Charlton Heston,$49.99 
2120, 131 minutes ,John McTiernan,Bruce Willis,$6.59 
2121,"1 hour, 42 minutes",Hal Needham,"Burt Reynolds, Jackie Gleason","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2122, 104 minutes ,Pitof,Halle Berry,$5.97 
2123, 185 minutes ,Patrick Alessandrin,Cyril Raffaelli,$9.96 
2124, 356 minutes ,Cecil B. DeMille,Theodore Roberts,$49.95 
2125, 90 minutes ,Dean Semler,Steven Seagal,
2126, 137 minutes ,Ron Howard,Evan Wood,$9.99 
2127, 113 minutes ,David S. Goyer,James Remar,$9.99 
2128, 93 minutes ,Robert Wise,Clark Gable,$14.98 
2129,52 minutes,Mark Beesley,"Manu Bennett, Daniel Feuerriegel","Buy SD $1.99,"
2130, 94 minutes ,Dito Montiel,Liam Hemsworth,$5.00 
2131,1/1/2012,Babe Winkelman,19 minutes,"Buy SD $7.99,"
